# lambda,outputs,a_opt
-2.000000000000000111e-01,4.911520428595703147e-01,6.782102816820978930e+00
-1.000000000000000194e-01,4.913599834909918584e-01,9.999994784878286680e+01
-2.775557561562891351e-17,4.915531271656611301e-01,8.541023325539993039e+01
9.999999999999997780e-02,4.917726109363933507e-01,6.856235247864739790e+01
1.999999999999999556e-01,4.919601349148663427e-01,7.233812731035679633e+01
2.999999999999999334e-01,4.921654590642249305e-01,7.777546886396292791e+01
3.999999999999999667e-01,4.923375260599411884e-01,9.999994784878286680e+01
5.000000000000000000e-01,4.924713176060356856e-01,7.639320248608899533e+01
