# lambda,outputs,a_opt
-2.000000000000000111e-01,3.741025405851459706e-01,6.605882207808363660e+01
-1.000000000000000194e-01,3.742622407823927855e-01,7.724851557890472975e+01
-2.775557561562891351e-17,3.744246938655127477e-01,9.999994784878286680e+01
9.999999999999997780e-02,3.745871852785784828e-01,8.891857846446359304e+01
1.999999999999999556e-01,3.747476043461421269e-01,9.661924571514273907e+01
2.999999999999999334e-01,3.748947167250837320e-01,3.235050593156275767e+01
3.999999999999999667e-01,3.750441832682890331e-01,1.926427577415677206e+01
5.000000000000000000e-01,3.751331575318823108e-01,6.180339925695548686e+01
