# lambda,outputs,a_opt
-2.000000000000000111e-01,7.255942615174236499e-02,7.071571373942431293e+00
-1.000000000000000194e-01,7.260046443668874416e-02,4.444085508153343511e+01
-2.775557561562891351e-17,7.263627353951415677e-02,3.867060948419022282e+01
9.999999999999997780e-02,7.267482541426092957e-02,7.781432301180551292e+01
1.999999999999999556e-01,7.270867662427538125e-02,6.642036768320893714e+01
2.999999999999999334e-01,7.275045474221711328e-02,5.716073309484350773e+01
3.999999999999999667e-01,7.278112434458758329e-02,4.285470688811460604e+01
5.000000000000000000e-01,7.280029430801100709e-02,6.180339925695548686e+01
