# lambda,outputs,a_opt
-2.000000000000000111e-01,2.685378364082522951e-01,9.999994784878286680e+01
-1.000000000000000194e-01,2.686213694454519518e-01,7.151426995512510132e+01
-2.775557561562891351e-17,2.686996523969431561e-01,7.152166092088559424e+01
9.999999999999997780e-02,2.687810563484731019e-01,5.571577924200121146e+01
1.999999999999999556e-01,2.688595165279079602e-01,9.243370183029810505e+01
2.999999999999999334e-01,2.689353937882513756e-01,8.614247487461942399e+01
3.999999999999999667e-01,2.690028368335563025e-01,7.184908116045208715e+01
5.000000000000000000e-01,2.690421849533917165e-01,1.805324546184006351e+01
