# lambda,outputs,a_opt
-2.000000000000000111e-01,5.110700052777268354e-01,7.124731438363805580e+01
-1.000000000000000194e-01,5.113389871109677021e-01,9.053520480315738439e+01
-2.775557561562891351e-17,5.116058954682316529e-01,9.581813508837376503e+01
9.999999999999997780e-02,5.118667875766473863e-01,7.188414631621108697e+01
1.999999999999999556e-01,5.121362721352851199e-01,6.566484307909900053e+01
2.999999999999999334e-01,5.123878184828505322e-01,6.976487879123070002e+01
3.999999999999999667e-01,5.126405043235767733e-01,5.165778579809173721e+01
5.000000000000000000e-01,5.128751704831671088e-01,6.163175592171219819e+01
