# lambda,outputs,a_opt
-2.000000000000000111e-01,7.628824845616292982e-02,6.523102524876016162e+01
-1.000000000000000194e-01,7.632653669111646999e-02,3.849548262869302562e+01
-2.775557561562891351e-17,7.636377255856524604e-02,9.999994784878286680e+01
9.999999999999997780e-02,7.639240954425491337e-02,6.452151387891498757e+01
1.999999999999999556e-01,7.642944810756061025e-02,6.725980297267506103e+01
2.999999999999999334e-01,7.646026048362605798e-02,8.028613925166379772e+01
3.999999999999999667e-01,7.648635201836520570e-02,7.083524987394505956e+01
5.000000000000000000e-01,7.648815146357315631e-02,3.819660174304449640e+01
