# lambda,outputs,a_opt
-2.000000000000000111e-01,2.002466369660541590e-01,6.180343815763475845e+01
-1.000000000000000194e-01,2.003139241085874489e-01,7.768825398238443825e+01
-2.775557561562891351e-17,2.003712599284973583e-01,9.501979985813952112e+01
9.999999999999997780e-02,2.004330075121150689e-01,9.750411865217803609e+01
1.999999999999999556e-01,2.004870558453009655e-01,7.896243572601294147e+01
2.999999999999999334e-01,2.005356615921791152e-01,2.074167316200856322e-03
3.999999999999999667e-01,2.005863698238894433e-01,4.459078540517933220e+01
5.000000000000000000e-01,2.006217070818483439e-01,3.819660174304449640e+01
