# lambda,outputs,a_opt
-2.000000000000000111e-01,9.795567999269390036e-01,8.566351289192330398e+01
-1.000000000000000194e-01,9.798409764450749515e-01,6.651463352140578422e+01
-2.775557561562891351e-17,9.801261524896811572e-01,8.325735827546949963e+01
9.999999999999997780e-02,9.804189419221602808e-01,7.639324039964333224e+01
1.999999999999999556e-01,9.806859720585192619e-01,9.331104757841512765e+01
2.999999999999999334e-01,9.809691275309079250e-01,6.180343547146142669e+01
3.999999999999999667e-01,9.812226211531624998e-01,8.244074820272092552e+01
5.000000000000000000e-01,9.814151177299900164e-01,3.191594608379648790e+01
