# lambda,outputs,a_opt
-2.000000000000000111e-01,7.624843025614302938e-01,6.484762818941085527e+01
-1.000000000000000194e-01,7.627119242229586371e-01,9.999994784878286680e+01
-2.775557561562891351e-17,7.629492246673403866e-01,6.440964348830827646e+01
9.999999999999997780e-02,7.631682558068324518e-01,6.763094785562043398e+01
1.999999999999999556e-01,7.634066512035326824e-01,6.180343980227686274e+01
2.999999999999999334e-01,7.636224469057688591e-01,4.770187611961705443e+01
3.999999999999999667e-01,7.638389048099990530e-01,5.675461034200900912e+01
5.000000000000000000e-01,7.640162506676093646e-01,6.180339925695548686e+01
