# lambda,outputs,a_opt
-2.000000000000000111e-01,2.861962241174675348e-01,7.639315669230629169e+01
-1.000000000000000194e-01,2.862993073935390376e-01,6.547962420904644887e+01
-2.775557561562891351e-17,2.864004697799136800e-01,7.639323969212681220e+01
9.999999999999997780e-02,2.864985153226907721e-01,7.639323781824161586e+01
1.999999999999999556e-01,2.865999357750732002e-01,9.999996397933684023e+01
2.999999999999999334e-01,2.866943089666648126e-01,2.360684069781171956e+01
3.999999999999999667e-01,2.867810035939560853e-01,8.327765522754863525e+01
5.000000000000000000e-01,2.868477669318177936e-01,6.000918269207093658e+01
